Audio File Name,URL,Adventure Number,Unit,Subadventure
ea_duotr1_PA1_01,http://tinyurl.com/ea-duotr1-PA1-AP,PA,AP,1
ea_duotr2_PA2_01,http://tinyurl.com/ea-duotr2-PA2-AP,PA,AP,2
ea_duotr3_AP1_01,http://tinyurl.com/ea-duotr3-AP1,1,AP,
ea_duotr4_AP2_01,http://tinyurl.com/ea-duotr4-AP2,2,AP,
ea_duotr5_AP2a_01,http://tinyurl.com/ea-duotr5-AP2aea-duotr5-AP2a,2,AP,a
ea_duotr6_AP3_01,http://tinyurl.com/ea-duotr6-AP3,3,AP,
ea_duotr7_AP4_01,http://tinyurl.com/ea-duotr7-AP4,4,AP,
ea_duotr8_AP5_01,http://tinyurl.com/ea-duotr8-AP5,5,AP,
ea_duotr9_AP6_01,http://tinyurl.com/ea-duotr9-AP6,6,AP,
ea_duotr1_PA1_01,http://tinyurl.com/ea-duotr1-PA1-TT,PA,TT,1
ea_duotr2_PA2_01,http://tinyurl.com/ea-duotr2-PA2-TT,PA,TT,2
ea_duotr3_TT1,http://tinyurl.com/ea-duotr3-TT1,1,TT,
ea_duotr4_TT2_01,http://tinyurl.com/ea-duotr4-TT2,2,TT,
ea_duotr5_TT3_01,http://tinyurl.com/ea-duotr5-TT3,3,TT,
ea_duotr6_TT4_01,http://tinyurl.com/ea-duotr6-TT4,4,TT,
ea_duotr1_PA1_01,http://tinyurl.com/ea-duotr1-PA1-BB,PA,BB,1
ea_duotr2_PA2_01,http://tinyurl.com/ea-duotr2-PA2-BB,PA,BB,2
ea_duotr3_BB1_01,http://tinyurl.com/ea-duotr3-BB1,1,BB,
ea_duotr4_BB1a_01,http://tinyurl.com/ea-duotr4-BB1a,1,BB,a
ea_duotr5_BB2_01,http://tinyurl.com/ea-duotr5-BB2,2,BB,
ea_duotr6_BB3_01,http://tinyurl.com/ea-duotr6-BB3,3,BB,
ea_duotr7_BB4_01,http://tinyurl.com/ea-duotr7-BB4,4,BB,
ea_duotr8_BB5_01,http://tinyurl.com/ea-duotr8-BB5,5,BB,
ea_duotr9_BB6,http://tinyurl.com/mat2kwh,6,BB,
ea_duotr1_PA1_01,http://tinyurl.com/ea-duotr1-PA1-EQ,PA,EQ,1
ea_duotr2_PA2_01,http://tinyurl.com/ea-duotr2-PA2-EQ,PA,EQ,2
ea_duotr3_EQ1_01,http://tinyurl.com/ea-duotr3-EQ1,1,EQ,
ea_duotr4_EQ2_01,http://tinyurl.com/ea-duotr4-EQ2,2,EQ,
ea_duotr5_EQ3_01,http://tinyurl.com/ea-duotr5-EQ3,3,EQ,
ea_duotr6_EQ4_01,http://tinyurl.com/ea-duotr6-EQ4,4,EQ,
ea_duotr7_EQ5_01,http://tinyurl.com/ea-duotr7-EQ5,5,EQ,
ea_duotr8_EQ6_01,http://tinyurl.com/ea-duotr8-EQ6,6,EQ,
ea_duotr9_EQ7_01,http://tinyurl.com/ea-duotr9-EQ7,7,EQ,
ea_duo_rr_PA1_01,http://tinyurl.com/ea-duotr1-PA1-RR,PA,RR,1
ea_duo_rr_PA2_01,http://tinyurl.com/ea-duotr2-PA2-RR,PA,RR,2
ea_duo_rr_A1_01,http://tinyurl.com/ea-duotr3-RR1,1,RR,
ea_duo_rr_A2_01,http://tinyurl.com/ea-duotr4-RR2,2,RR,
ea_duo_rr_A3_01,http://tinyurl.com/ea-duotr5-RR3,3,RR,
ea_duo_rr_A4_01,http://tinyurl.com/ea-duotr6-RR4,4,RR,
ea_duo_rr_A4a_01,http://tinyurl.com/ea-duotr7-RR4a,4,RR,a
ea_duo_rr_A5_01,http://tinyurl.com/ea-duotr8-RR5,5,RR,
ea_duo_rr_A6_01,http://tinyurl.com/ea-duotr9-RR6,6,RR,
ea_duotr1_PA1,http://tinyurl.com/ea-duotr1-PA1-LO,PA,LO,1
ea_duotr2_PA2,http://tinyurl.com/ea-duotr2-PA2-LO,PA,LO,2
ea_duotr3_LO1,http://tinyurl.com/ea-duotr3-LO1,1,LO,
ea_duotr4_LO2,http://tinyurl.com/ea-duotr4-LO2,2,LO,
ea_duotr5_LO3,http://tinyurl.com/ea-duotr5-LO3,3,LO,
ea_duotr6_LO4,http://tinyurl.com/ea-duotr6-LO4,4,LO,
ea_duotr7_LO5,http://tinyurl.com/ea-duotr7-LO5,5,LO,
ea_duotr8_LO6,http://tinyurl.com/ea-duotr8-LO6,6,LO,
